p_id,agent_type,place,agent_mape
2015000325320-3513201,wrk_only,south_jordan,82.82164860692535
2017000424387-4339603,student__age10_15,unknown,82.74024341553525
2017000000982-4332901,wrk_only,unknown,82.71449213259574
2019HU0839553-4358001,wrk_only,unknown,82.61328891854934
2015000038600-4069002,wrk_only,south_jordan,82.60276545458419
2015000968516-4446901,wrk__student,south_jordan,82.57832656856459
2015000311427-4081702,wrk__student,south_jordan,82.50784890627352
2015000890163-2229802,wrk_only,west_jordan,82.39783029253758
2018HU0278220-2280401,wrk_only,west_jordan,82.24836959633193
2015000606502-1481702,wrk_only,west_jordan,82.20868656840834
2019HU1372923-1456303,student__age10_15,unknown,82.06556780614972
2015000868644-4435402,wrk_only,south_jordan,81.99981231933157
2015000716457-3449501,wrk_only,south_jordan,81.9039438107814
2015000928846-309302,wrk_only,west_jordan,81.75494383649199
2016001198021-4330704,student__age10_15,unknown,81.59185708335376
2016000250434-5256201,wrk_only,riverton,81.58166004255233
2015000637209-4424901,wrk_only,south_jordan,81.35625773264297
2015000975217-4454102,wrk_only,south_jordan,81.01432362198912
2016000030966-3164102,wrk_only,herriman,80.87540877779614
2015000728363-4431602,wrk_only,south_jordan,80.8132079492552
2015000219682-4074902,wrk_only,south_jordan,80.72189042690484
2015000668785-1383605,childcare,unknown,80.56874956672362
2016000442736-4327005,wrk_only,unknown,80.44334588366665
2018HU0585213-2087101,wrk_only,west_jordan,80.40343959366778
2016000514659-1397504,childcare,unknown,80.28775828440031
2015001003777-427103,wrk_only,west_jordan,80.18606644229305
2017000043087-1410304,student__age10_15,unknown,80.14398161524684
2015000902560-4439705,wrk_only,south_jordan,80.08533455887589
2016000451048-1277101,wrk__student,riverton,80.01076763075761
2017000424387-4339405,student__age05_09,unknown,79.99294973518093
2015001086515-2770901,wrk_only,west_jordan,79.98631957657238
2019HU1372923-1456304,student__age10_15,unknown,79.93969544405192
2016000865609-1403601,wrk_only,unknown,79.88835899110089
2015000902560-3377803,wrk_only,riverton,79.69006797547922
2015001462218-1262302,wrk_only,riverton,79.55045100414286
2016000679402-4019601,wrk_only,riverton,79.54768435496062
2016000136275-4136202,wrk_only,south_jordan,79.4540162816728
2015001102347-431702,wrk_only,riverton,79.40750850079095
2016001198021-4330701,wrk_only,unknown,79.40677640517157
2015000023602-3575802,wrk_only,south_jordan,79.34698437751358
2019HU0607168-1445403,student__lf_elig,unknown,79.32328812620551
2016001305620-4591302,wrk_only,south_jordan,79.14084791862673
2017000424387-4339602,wrk__student,unknown,79.0898153530846
2015001289689-3062501,wrk_only,south_jordan,79.07644398942489
2015000895206-1554901,wrk_only,west_jordan,79.01323010136633
2018HU0761031-1430604,student__age10_15,unknown,78.71664125840907
2015000290595-3577801,wrk_only,riverton,78.51595344519102
2015001420394-2037802,wrk_only,west_jordan,78.33502841053853
2015000284794-76602,wrk_only,south_jordan,78.18171980336925
2016000515334-1400201,wrk_only,unknown,78.13542962894294
2015000281578-3103001,wrk_only,south_jordan,78.12168136558346
2019HU1338284-4360701,wrk_only,unknown,77.99661310016862
2016000514659-1397501,wrk_only,unknown,77.93892884414498
2015001425083-184802,wrk_only,west_jordan,77.83787104384471
2019HU1372923-1456301,wrk_only,unknown,77.63490309110814
2016000530994-3462101,wrk_only,south_jordan,77.41929384460349
2015000075339-518104,wrk_only,herriman,77.41519448039116
2015000939542-2329004,wrk_only,west_jordan,77.41398291589915
2019HU1338284-4360703,student__lf_elig,unknown,77.33581623071754
2015000597560-4007606,wrk_only,riverton,77.22283096608878
2015000876895-3520102,wrk__student,south_jordan,77.1918894620241
2017000190869-1323501,wrk_only,taylorsville,76.94478867828121
2015001289689-3062601,wrk_only,south_jordan,76.92995880619125
2015000674332-3204803,wrk_only,south_jordan,76.92199819363937
2015000030423-5528501,wrk_only,murray,76.91239968123996
2015000664517-1623906,wrk_only,west_jordan,76.91198718580617
2019HU1105558-3489202,wrk_only,unknown,76.71922355090602
2018HU0585213-155201,wrk_only,west_jordan,76.70925023952942
2015000311427-4081302,wrk__student,south_jordan,76.59837330739371
2016000030966-3164201,wrk_only,herriman,76.59150326638756
2016000020748-3566701,wrk_only,taylorsville,76.55947297799136
2015001012098-967902,wrk_only,murray,76.49809420237256
2015001144591-3587501,wrk_only,riverton,76.26722098374424
2015000547726-4094801,wrk_only,south_jordan,76.24476736993493
2015000443828-3412301,wrk_only,unknown,76.2404872970579
2015000085219-4373302,wrk_only,south_jordan,76.23620884181419
2016000171271-2867202,wrk_only,south_jordan,76.22556165175551
2015000313279-2386801,wrk_only,south_jordan,76.17978047638204
2015000038600-3576102,wrk_only,riverton,76.1245437750683
2015000599314-2580602,wrk_only,south_jordan,76.08703380609153
2016000568139-2689602,wrk_only,south_jordan,76.08066470338815
2015000125212-210201,wrk_only,west_jordan,76.07766937300987
2015000771786-6402,wrk_only,west_jordan,76.06439857142682
2015000290595-2992801,wrk_only,south_jordan,76.06308973841186
2016000446648-3945602,wrk_only,riverton,76.00081697094113
2015000183812-2765502,wrk_only,south_jordan,75.9880552511522
2015000477259-4089102,wrk_only,south_jordan,75.94957708724701
2015000795719-1393903,wrk_only,west_jordan,75.85925181596677
2016000503128-2500002,wrk_only,holladay,75.8434350843848
2015000844279-2048301,wrk__student,west_valley_city,75.73613212476089
2015000716457-4430502,wrk_only,south_jordan,75.7266968066457
